# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\gusta\Documents\MEGA\EngdeComputacao\Logica_Rec\APS\ConversorMorse\exemplo\pinPlanner.csv
# Generated on: Sun Dec 09 21:30:01 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
B[3],Output,PIN_K18,6,B6_N1,,,,,
B[2],Output,PIN_J22,6,B6_N1,,,,,
B[1],Output,PIN_K21,6,B6_N1,,,,,
B[0],Output,,,,,,,,
CLK,Input,PIN_G21,6,B6_N1,,,,,
G[3],Output,PIN_J21,6,B6_N1,,,,,
G[2],Output,PIN_K17,6,B6_N1,,,,,
G[1],Output,PIN_J17,6,B6_N0,,,,,
G[0],Output,PIN_H22,6,B6_N1,,,,,
HSYNC,Output,PIN_L21,6,B6_N1,,,,,
R[3],Output,PIN_H21,6,B6_N1,,,,,
R[2],Output,PIN_H20,6,B6_N0,,,,,
R[1],Output,PIN_H17,6,B6_N0,,,,,
R[0],Output,PIN_H19,6,B6_N0,,,,,
RST,Input,PIN_D2,1,B1_N0,,,,,
VSYNC,Output,PIN_L22,6,B6_N1,,,,,
CHAVES[8],Unknown,PIN_E4,1,B1_N0,,,,,
CHAVES[7],Unknown,PIN_E3,1,B1_N0,,,,,
CHAVES[6],Unknown,PIN_H7,1,B1_N0,,,,,
CHAVES[5],Unknown,PIN_J7,1,B1_N1,,,,,
CHAVES[4],Unknown,PIN_G5,1,B1_N0,,,,,
CHAVES[3],Unknown,PIN_G4,1,B1_N0,,,,,
CHAVES[2],Unknown,PIN_H6,1,B1_N0,,,,,
CHAVES[1],Unknown,PIN_H5,1,B1_N0,,,,,
CHAVES[0],Unknown,PIN_J6,1,B1_N0,,,,,
LEDS[9],Unknown,PIN_B1,1,B1_N0,,,,,
LEDS[8],Unknown,PIN_B2,1,B1_N0,,,,,
LEDS[7],Unknown,PIN_C2,1,B1_N0,,,,,
LEDS[6],Unknown,PIN_C1,1,B1_N0,,,,,
LEDS[5],Unknown,PIN_E1,1,B1_N0,,,,,
LEDS[4],Unknown,PIN_F2,1,B1_N0,,,,,
LEDS[3],Unknown,PIN_H1,1,B1_N1,,,,,
LEDS[2],Unknown,PIN_J3,1,B1_N1,,,,,
LEDS[1],Unknown,PIN_J2,1,B1_N1,,,,,
LEDS[0],Unknown,PIN_J1,1,B1_N1,,,,,
CHAVES[9],Unknown,,,,,,,,
