# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\Felipe Schwab\Desktop\APS_GERACAO_DE_CODIGO_MORSE_PROJETO\PinPlannerRxTx.csv
# Generated on: Wed Dec 05 16:52:35 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
button,Input,PIN_AB16,4,B4_N1,PIN_AB16,,,,,
buzzer,Output,PIN_AA16,4,B4_N1,PIN_AA16,,,,,
clk,Input,PIN_G21,6,B6_N1,PIN_G21,,,,,
rst,Input,PIN_F1,1,B1_N0,PIN_F1,,,,,
states[3],Output,PIN_B1,1,B1_N0,PIN_B1,,,,,
states[2],Output,PIN_B2,1,B1_N0,PIN_B2,,,,,
states[1],Output,PIN_C2,1,B1_N0,PIN_C2,,,,,
states[0],Output,PIN_C1,1,B1_N0,PIN_C1,,,,,
out_ssd[6],Unknown,PIN_F13,7,B7_N1,,,,,,
out_ssd[5],Unknown,PIN_F12,7,B7_N1,,,,,,
out_ssd[4],Unknown,PIN_G12,7,B7_N1,,,,,,
out_ssd[3],Unknown,PIN_H13,7,B7_N1,,,,,,
out_ssd[2],Unknown,PIN_H12,7,B7_N1,,,,,,
out_ssd[1],Unknown,PIN_F11,7,B7_N1,,,,,,
out_ssd[0],Unknown,PIN_E11,7,B7_N1,,,,,,
