# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.1.0 Build 162 10/23/2013 SJ Web Edition
# File: C:\Users\gusta\Documents\MEGA\EngdeComputacao\Logica_Rec\APS\VGA\exemplo_VGA\exemplo_VGA.csv
# Generated on: Sat Nov 24 12:29:07 2018

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair
B[3],Output,PIN_K18,6,B6_N1,PIN_G12,,,,,
B[2],Output,PIN_J22,6,B6_N1,PIN_F13,,,,,
B[1],Output,PIN_K21,6,B6_N1,PIN_Y7,,,,,
B[0],Output,,,,PIN_C8,,,,,
CLK,Input,PIN_G21,6,B6_N1,PIN_G2,,,,,
G[3],Output,PIN_J21,6,B6_N1,PIN_H12,,,,,
G[2],Output,PIN_K17,6,B6_N1,PIN_B15,,,,,
G[1],Output,PIN_J17,6,B6_N0,PIN_E22,,,,,
G[0],Output,PIN_H22,6,B6_N1,PIN_E5,,,,,
HSYNC,Output,PIN_L21,6,B6_N1,PIN_B13,,,,,
R[3],Output,PIN_H21,6,B6_N1,PIN_F12,,,,,
R[2],Output,PIN_H20,6,B6_N0,PIN_B16,,,,,
R[1],Output,PIN_H17,6,B6_N0,PIN_A15,,,,,
R[0],Output,PIN_H19,6,B6_N0,PIN_E1,,,,,
RST,Input,PIN_J6,1,B1_N0,PIN_G1,,,,,
VSYNC,Output,PIN_L22,6,B6_N1,PIN_E12,,,,,
